,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000000.0,,
2022-06-10,0.030530903895992303,103053090.38959923,-0.044564,95543600.0
2022-06-13,0.0,103053090.38959923,-0.042413,91491309.2932
2022-06-14,-0.006578267647165131,102375179.57914895,0.009205,92333486.79524389
2022-06-15,0.0,102375179.57914895,0.029735,95079023.02510047
2022-06-16,-0.004059722504184321,101959564.75874157,-0.02697,92514741.7741135
2022-06-17,-2.4751694108687306e-05,101957041.08678322,0.01094,93526853.0491223
2022-06-21,0.0,101957041.08678322,0.024591,95826771.89245328
2022-06-22,-0.011689850046293799,100765178.5653149,-0.002404,95596404.33282383
2022-06-23,0.0,100765178.5653149,0.022637,97760420.13770597
2022-06-24,0.012302242660824799,102004816.24378675,0.03415,101098938.4854086
2022-06-27,0.0,102004816.24378675,-0.010497,100037702.92812727
2022-06-28,0.0,102004816.24378675,-0.031749,96861605.89786217
2022-06-29,0.0,102004816.24378675,0.014738,98289152.24558486
2022-06-30,0.0,102004816.24378675,-0.013179,96993799.50814028
2022-07-01,0.0,102004816.24378675,0.010708,98032409.11327344
2022-07-05,0.0,102004816.24378675,0.012597,99267323.37087335
2022-07-06,0.0,102004816.24378675,0.012783,100536257.56552322
2022-07-07,0.0,102004816.24378675,0.008227,101363369.35651478
2022-07-08,0.0,102004816.24378675,-0.002757,101083910.54719888
2022-07-11,0.0,102004816.24378675,-0.011769,99894254.00396888
2022-07-12,0.0,102004816.24378675,-0.040982,95800387.68637824
2022-07-13,0.0,102004816.24378675,-0.003745,95441615.23449275
2022-07-14,0.0,102004816.24378675,0.005381,95955186.56606956
2022-07-15,-0.0034345731042305463,101654473.24541387,0.01039,96952160.95449102
2022-07-18,0.0,101654473.24541387,-0.009621,96019384.21394786
2022-07-19,0.0,101654473.24541387,0.020767,98013418.76591891
2022-07-20,0.0,101654473.24541387,0.010558,99048244.44124949
2022-07-21,-0.03472465571605281,98124556.65997016,0.009799,100018818.1885293
2022-07-22,0.01166543909147053,99269222.6990646,-0.016916,98326899.86005212
2022-07-25,0.0,99269222.6990646,-0.005876,97749130.99647446
2022-07-26,0.0,99269222.6990646,-0.026774,95131995.76317485
2022-07-27,0.0,99269222.6990646,0.066852,101491759.9439346
2022-07-28,0.021460488990777335,101399588.7599209,0.028541,104388436.26449443
2022-07-29,0.0,101399588.7599209,0.015665,106023681.11857773
2022-08-01,0.0,101399588.7599209,-0.009724,104992706.84338069
2022-08-02,-0.002374290802306196,101158836.64897059,-0.011474,103788020.52505973
2022-08-03,0.0,101158836.64897059,0.027836,106677063.86439528
2022-08-04,0.0,101158836.64897059,0.004177,107122653.96015687
2022-08-05,0.0,101158836.64897059,-0.002609,106843170.95597482
2022-08-08,0.0,101158836.64897059,-0.009155,105865021.72587286
2022-08-09,0.0,101158836.64897059,0.007063,106612746.37432273
2022-08-10,0.0,101158836.64897059,0.0243,109203436.11121877
2022-08-11,0.0,101158836.64897059,-0.007401,108395221.48055965
2022-08-12,0.0,101158836.64897059,0.017037,110241950.86892395
2022-08-15,0.0,101158836.64897059,0.005344,110831083.85436748
2022-08-16,0.0,101158836.64897059,-0.00259,110544031.34718467
2022-08-17,0.0,101158836.64897059,-0.002631,110253190.0007102
2022-08-18,0.0,101158836.64897059,-0.003948,109817910.40658742
2022-08-19,7.55026789133274e-05,101166474.41213334,-0.013854,108296493.07581455
2022-08-22,0.0,101166474.41213334,-0.029355,105117449.521574
2022-08-23,0.0,101166474.41213334,-0.004716,104621715.62963025
2022-08-24,0.0,101166474.41213334,-0.002351,104375749.976185
2022-08-25,0.0,101166474.41213334,0.011095,105533798.92217079
2022-08-26,0.0,101166474.41213334,-0.038587,101461566.22316098
2022-08-29,0.0,101166474.41213334,-0.010668,100379174.23469229
2022-08-30,0.0,101166474.41213334,-0.008521,99523843.29103848
2022-08-31,0.0,101166474.41213334,-0.005704,98956159.2889064
2022-09-01,0.0,101166474.41213334,-0.004092,98551230.68509619
2022-09-02,0.0,101166474.41213334,-0.016667,96908677.3232677
2022-09-06,-0.03562635076043038,97562282.10953057,-0.010974,95845201.49832216
2022-09-07,0.0,97562282.10953057,0.019112,97676994.9893581
2022-09-08,-0.02792391701197553,94837961.0404051,0.001666,97839724.86301036
2022-09-09,0.004444982569129574,95259514.12412149,0.022977,100087788.22118776
2022-09-12,0.0,95259514.12412149,0.008281,100916615.19544742
2022-09-13,0.0,95259514.12412149,-0.054978,95368421.5252321
2022-09-14,0.0,95259514.12412149,0.000913,95455492.89408463
2022-09-15,0.0,95259514.12412149,-0.027119,92866835.38228996
2022-09-16,0.0,95259514.12412149,-0.002608,92624638.67561294
2022-09-19,0.0,95259514.12412149,-0.000899,92541369.12544356
2022-09-20,0.0,95259514.12412149,-0.008466,91757913.89442755
2022-09-21,0.0,95259514.12412149,-0.014436,90433296.6494476
2022-09-22,0.0,95259514.12412149,0.008496,91201617.93778132
2022-09-23,0.0,95259514.12412149,-0.012698,90043539.79320738
2022-09-26,0.0,95259514.12412149,-0.001975,89865703.8021158
2022-09-27,0.0,95259514.12412149,-0.00438,89472092.01946253
2022-09-28,0.0,95259514.12412149,0.019712,91235765.89735016
2022-09-29,0.0,95259514.12412149,-0.014809,89884655.44017631
