,ret,AUM,ret_spy,AUM_SPX
2022-05-09,,100000.0,,
2022-05-10,,100000.0,,
2022-05-11,,100000.0,,
2022-05-12,,100000.0,,
2022-05-13,,100000.0,,
2022-05-16,,100000.0,,
2022-05-17,,100000.0,,
2022-05-18,,100000.0,,
2022-05-19,,100000.0,,
2022-05-20,,100000.0,,
2022-05-23,,100000.0,,
2022-05-24,,100000.0,,
2022-05-25,,100000.0,,
2022-05-26,,100000.0,,
2022-05-27,0.009151579999999816,100915.15799999998,0.027604362542309246,102760.43625423092
2022-05-31,0.003199301337862779,101238.01600000002,-0.0050139071878202435,102245.2049642723
2022-06-01,-0.01544325009292955,99674.57200000001,0.002023025710817805,102452.04964272285
2022-06-02,0.0,99674.57200000001,0.007928933264811588,103264.38510718316
2022-06-03,0.0,99674.57200000001,-0.01660718187777699,101549.45468221138
2022-06-06,0.0,99674.57200000001,-0.0047033553070142675,101071.8315156074
2022-06-07,0.0,99674.57200000001,0.013953488372093092,102482.13614140658
2022-06-08,0.0,99674.57200000001,-0.007669724770642095,101696.12636329452
2022-06-09,0.0004314841703056321,99717.58,-0.02078325505713552,99582.54983076348
2022-06-10,0.001589288468492832,99876.06000000001,-0.044563616450772336,95144.79127491542
2022-06-13,-0.002291560159661818,99647.18800000002,-0.042412743586703106,91109.43963896204
2022-06-14,0.0,99647.18800000002,0.009204986378271274,91948.10078977061
2022-06-15,0.0009119173538545164,99738.05800000003,0.029735367499693188,94682.21135765327
2022-06-16,-0.0058086051765715374,99158.71900000004,-0.026970130282809035,92128.61978187291
2022-06-17,-0.008735086624102075,98292.55900000004,0.010940115116136795,93136.5174877774
2022-06-21,-0.00453959795674858,97846.35030000005,0.024591156874621545,95426.85220007527
2022-06-22,-0.007447676870580127,97117.62230000006,-0.0024040356270198515,95197.44264761194
2022-06-23,-0.0028359219828223265,96842.20430000006,0.022636589894520665,97352.38811583309
2022-06-24,0.004486085412246257,97276.64670000006,0.03414973344665051,100676.94622038366
2022-06-27,8.098552188260179e-05,97284.52470000004,-0.010496824803884919,99620.15795411816
2022-06-28,0.010709802028770081,98326.42270000002,-0.03174902789837275,96457.31477999255
2022-06-29,-0.007578532601288075,97581.25270000004,0.014737991266375428,97878.9018427981
2022-06-30,0.0016094484919437868,97738.30470000004,-0.013179128563743925,96588.9432117338
2022-07-01,0.0,97738.30470000004,0.010707471868551144,97623.16660398652
2022-07-05,0.0,97738.30470000004,0.012597272517143265,98852.95223768342
2022-07-06,-0.004004360431678257,97346.92530000005,0.012782956058588368,100116.58518239946
2022-07-07,-0.0025996732739128926,97093.85510000004,0.008226588032004711,100940.20308386616
2022-07-08,0.0,97093.85510000004,-0.002757078986587058,100661.90297104181
2022-07-11,-0.004945235715540076,96613.70310000006,-0.0117686617350371,99477.24708537049
2022-07-12,0.021197489944881222,98661.67110000005,-0.04098143737476845,95400.52651372702
2022-07-13,0.0,98661.67110000005,-0.0037450230614577418,95043.2493418579
2022-07-14,-0.0030148303458038535,98364.22290000005,0.005381449825894391,95554.71981948108
2022-07-15,-0.0056157918368509065,97811.82990000006,0.010390428211586977,96547.5742760437
2022-07-18,0.0,97811.82990000006,-0.00962137737612978,95618.65362918397
2022-07-19,0.0,97811.82990000006,0.02076696165191727,97604.3625423092
2022-07-20,-0.010134213837052451,96820.58390000006,0.010557546333757273,98634.82512222647
2022-07-21,-0.001953941944777034,96631.40210000004,0.009799062035307005,99601.35389244082
2022-07-22,0.012534020760110582,97842.58210000003,-0.016915873735085185,97916.50996615276
2022-07-25,-0.004635078002505038,97389.07410000003,-0.005876478721769995,97341.10567882669
2022-07-26,0.020780955345379926,99412.91210000003,-0.026774330641733846,94734.86273034982
2022-07-27,0.013183635528970759,100723.53570000004,0.0668519253672093,101068.070703272
2022-07-28,0.014490992496007002,102183.11970000002,0.02854059685941812,103952.61376457325
2022-07-29,0.0,102183.11970000002,0.015665135125357166,105581.04550582936
2022-08-01,0.0,102183.11970000002,-0.009724300064116287,104554.34373824757
2022-08-02,-0.002756797804050481,101901.42150000004,-0.011474407395417385,103354.6446032344
2022-08-03,0.006834876194538525,102597.90510000003,0.027836402008587502,106231.6660398647
2022-08-04,0.0,102597.90510000003,0.0041774347718339655,106675.4418954495
2022-08-05,0.0,102597.90510000003,-0.0026088489335447385,106397.14178262516
2022-08-08,0.0,102597.90510000003,-0.009154854900851994,105423.09138773984
2022-08-09,-0.006005473497723491,101981.75610000003,0.007063356164383583,106167.73223016181
2022-08-10,0.0,101981.75610000003,0.024300389656394028,108747.64949229044
2022-08-11,0.0,101981.75610000003,-0.007400746991285234,107942.83565250102
2022-08-12,0.0,101981.75610000003,0.017037140268970852,109781.87288454315
2022-08-15,0.0,101981.75610000003,0.005344112911513932,110368.55960887561
2022-08-16,0.0,101981.75610000003,-0.002589702524960158,110082.7378713803
2022-08-17,0.0,101981.75610000003,-0.004748727409381259,109559.98495675075
2022-08-18,0.0,101981.75610000003,-0.003947549086914637,109127.49153817234
2022-08-19,0.00039369786847582276,102021.90610000002,-0.013853947685839474,107615.64497931562
